name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Jaden Schwartz,Jaden,Schwartz_SEA,Schwartz,W,1,2022-11-29,SEA,LAK,1.5,6,2.9,4200,0,23,6.7,1.6,4.2,11.5,24
Matt Duchene,Matt,Duchene_NSH,Duchene,W,1,2022-11-29,NSH,ANA,-1.5,6.5,3.9,4300,1.5,19.5,8.5,1.98,4.3,9,23.78
Brock Boeser,Brock,Boeser_VAN,Boeser,W,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,4100,4.1,23,8.1,1.98,4.1,9.45,23.63
Jordan Eberle,Jordan,Eberle_SEA,Eberle,W,1,2022-11-29,SEA,LAK,1.5,6,2.9,3600,3,20.5,8.7,2.42,3.6,8.75,23.47
Rickard Rakell,Rickard,Rakell_PIT,Rakell,W,2,2022-11-29,PIT,CAR,-1.5,6,3.1,4600,1.5,20.5,7.3,1.59,4.6000000000000005,9.5,22.990000000000002
Martin Necas,Martin,Necas_CAR,Necas,W,1,2022-11-29,CAR,PIT,1.5,6,2.9,6500,6,14.5,10.4,1.6,6.5,4.25,22.75
Kevin Labanc,Kevin,Labanc_SJS,Labanc,W,2,2022-11-29,SJS,MTL,1.5,6,3,3800,0,19,6.8,1.79,3.8000000000000003,9.5,21.89
Jaret Anderson-Dolan,Jaret,Anderson-Dolan_LAK,Anderson-Dolan,W,0,2022-11-29,LAK,SEA,-1.5,6,3.1,2500,3,28.1,4.5,1.8,2.5,12.55,21.35
T.J. Oshie,T.J.,Oshie_WSH,Oshie,W,1,2022-11-29,WSH,VAN,1.5,6.5,3.2,3800,0,20.6,5.7,1.5,3.8000000000000003,10.3,21.3
Luke Kunin,Luke,Kunin_SJS,Kunin,W,2,2022-11-29,SJS,MTL,1.5,6,3,2800,1.3,24.9,4.9,1.75,2.8000000000000003,11.799999999999999,21.25
Saku Maenalanen,Saku,Maenalanen_WPG,Maenalanen,W,0,2022-11-29,WPG,COL,1.5,6,2.8,2500,0,27.5,3.5,1.4,2.5,13.75,21.15
Adam Henrique,Adam,Henrique_ANA,Henrique,W,1,2022-11-29,ANA,NSH,1.5,6.5,2.6,4400,4.3,16.5,8.6,1.95,4.4,6.1,21.05
Jake Guentzel,Jake,Guentzel_PIT,Guentzel,W,1,2022-11-29,PIT,CAR,-1.5,6,3.1,7000,3,13,7.9,1.13,7,5,21.029999999999998
Taylor Hall,Taylor,Hall_BOS,Hall,W,2,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3700,4.5,17,8.6,2.32,3.7,6.25,20.869999999999997
Alex Killorn,Alex,Killorn_TBL,Killorn,W,1,2022-11-29,TBL,BOS,1.5,6.5,2.9,3400,3,18,7.7,2.26,3.4,7.5,20.86
Arthur Kaliyev,Arthur,Kaliyev_LAK,Kaliyev,W,2,2022-11-29,LAK,SEA,-1.5,6,3.1,3500,1.5,21.5,5.5,1.57,3.5,10,20.57
Viktor Arvidsson,Viktor,Arvidsson_LAK,Arvidsson,W,1,2022-11-29,LAK,SEA,-1.5,6,3.1,4600,1.5,17.8,6.4,1.39,4.6000000000000005,8.15,20.54
Blake Wheeler,Blake,Wheeler_WPG,Wheeler,W,1,2022-11-29,WPG,COL,1.5,6,2.8,3700,0,15.6,7.1,1.92,3.7,7.8,20.520000000000003
Jared McCann,Jared,McCann_SEA,McCann,W,1,2022-11-29,SEA,LAK,1.5,6,2.9,3900,4.5,14.5,9.2,2.36,3.9,5,20.46
Trevor Moore,Trevor,Moore_LAK,Moore,W,2,2022-11-29,LAK,SEA,-1.5,6,3.1,5100,3,16.5,7.1,1.39,5.1000000000000005,6.75,20.340000000000003
Alexander Barabanov,Alexander,Barabanov_SJS,Barabanov,W,1,2022-11-29,SJS,MTL,1.5,6,3,3300,1.3,15.8,7.3,2.21,3.3000000000000003,7.25,20.060000000000002
Adrian Kempe,Adrian,Kempe_LAK,Kempe,W,1,2022-11-29,LAK,SEA,-1.5,6,3.1,5200,3,13.3,7.9,1.52,5.2,5.15,19.77
Seth Jarvis,Seth,Jarvis_CAR,Jarvis,W,2,2022-11-29,CAR,PIT,1.5,6,2.9,3600,1.3,14.5,7.4,2.06,3.6,6.6,19.66
Joel Farabee,Joel,Farabee_PHI,Farabee,W,2,2022-11-29,PHI,NYI,1.5,6,2.6,3800,1.5,14.3,7.4,1.95,3.8000000000000003,6.4,19.55
Mikael Granlund,Mikael,Granlund_NSH,Granlund,W,1,2022-11-29,NSH,ANA,-1.5,6.5,3.9,3700,1.3,19.3,5.3,1.43,3.7,9,19.43
Jason Zucker,Jason,Zucker_PIT,Zucker,W,2,2022-11-29,PIT,CAR,-1.5,6,3.1,4500,0,14.5,6.2,1.38,4.5,7.25,19.33
Daniel Sprong,Daniel,Sprong_SEA,Sprong,W,2,2022-11-29,SEA,LAK,1.5,6,2.9,2800,0,19.3,5,1.79,2.8000000000000003,9.65,19.240000000000002
Jonathan Huberdeau,Jonathan,Huberdeau_CGY,Huberdeau,W,1,2022-11-29,CGY,FLA,-1.5,6.5,3.6,4300,0,14.5,6.2,1.44,4.3,7.25,19.19
Ilya Mikheyev,Ilya,Mikheyev_VAN,Mikheyev,W,2,2022-11-29,VAN,WSH,-1.5,6.5,3.3,3400,5.8,16.5,7.8,2.29,3.4,5.35,18.84
Tyler Toffoli,Tyler,Toffoli_CGY,Toffoli,W,1,2022-11-29,CGY,FLA,-1.5,6.5,3.6,5700,0,11.5,6.1,1.07,5.7,5.75,18.619999999999997
Bryan Rust,Bryan,Rust_PIT,Rust,W,2,2022-11-29,PIT,CAR,-1.5,6,3.1,5000,3,15,6.3,1.26,5,6,18.560000000000002
Nick Cousins,Nick,Cousins_FLA,Cousins,W,0,2022-11-29,FLA,CGY,1.5,6.5,3,3500,1.3,14.3,6.6,1.89,3.5,6.5,18.490000000000002
Ryan Poehling,Ryan,Poehling_PIT,Poehling,W,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2500,1.5,21.5,4.2,1.68,2.5,10,18.38
Josh Anderson,Josh,Anderson_MTL,Anderson,W,2,2022-11-29,MTL,SJS,-1.5,6,3,3000,3,19,5.2,1.73,3,8,17.93
